#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
358,Mumbai North West,27,GEN,Maharashtra,Gajanan Chandrakant Kirtikar,Shiv Sena,"17,75,428","8,95,517",50.4 %,"1,83,028",20.4%,AC View
359,Mumbai South,31,GEN,Maharashtra,Arvind Sawant,Shiv Sena,"14,85,846","7,80,715",52.5 %,"1,28,148",16.4%,AC View
360,Mumbai South Central,30,GEN,Maharashtra,Rahul Ramesh Shewale,Shiv Sena,"14,47,885","7,69,060",53.1 %,"1,38,342",18.0%,AC View
361,Munger,28,GEN,Bihar [2000 Onwards],Veena Devi,Lok Jan Shakti Party,"16,96,546","9,14,350",53.9 %,"1,09,084",11.9%,AC View
362,Murshidabad,11,GEN,West Bengal,Badaruddoza Khan,Communist Party Of India (MARXIST),"15,12,098","12,87,763",85.2 %,"18,453",1.4%,AC View
363,Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janta Party,"15,88,483","11,07,434",69.7 %,"4,01,150",36.2%,AC View
364,Muzaffarpur,15,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,"15,51,363","9,48,887",61.2 %,"2,22,422",23.4%,AC View
365,Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,"17,23,134","11,59,594",67.3 %,"31,608",2.7%,AC View
366,Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Biju Janata Dal,"12,97,210","10,22,172",78.8 %,"2,042",0.2%,AC View
367,Nagaland,1,ST,Nagaland,Neiphiu Rio,Naga Peoples Front,"11,82,948","10,38,910",87.8 %,"4,00,225",38.5%,AC View
368,Nagapattinam,29,SC,Tamil Nadu,Gopal. Dr. K,All India Anna Dravida Munnetra Kazhagam,"12,10,626","9,42,202",77.8 %,"1,06,079",11.3%,AC View
369,Nagarkurnool,12,SC,Telangana,Yellaiah Nandi,Indian National Congress,"14,77,338","11,08,968",75.1 %,"16,676",1.5%,AC View
370,Nagaur,14,GEN,Rajasthan,C R Choudhary,Bharatiya Janta Party,"16,78,662","10,04,019",59.8 %,"75,218",7.5%,AC View
371,Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashwant Singh,Bharatiya Janta Party,"14,93,411","9,42,196",63.1 %,"92,390",9.8%,AC View
372,Nagpur,10,GEN,Maharashtra,Gadkari Nitin Jairam,Bharatiya Janta Party,"19,00,787","10,85,058",57.1 %,"2,84,828",26.3%,AC View
373,Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,Bhagat Singh Koshyari,Bharatiya Janta Party,"16,10,810","11,01,435",68.4 %,"2,84,717",25.8%,AC View
374,Nalanda,29,GEN,Bihar [2000 Onwards],Kaushlendra Kumar,Janata Dal (United),"19,51,967","9,21,761",47.2 %,"9,627",1.0%,AC View
375,Nalgonda,13,GEN,Telangana,Gutha Sukhender Reddy,Indian National Congress,"14,95,580","11,89,399",79.5 %,"1,93,156",16.2%,AC View
376,Namakkal,16,GEN,Tamil Nadu,Sundaram P.R,All India Anna Dravida Munnetra Kazhagam,"13,29,552","10,58,755",79.6 %,"2,94,374",27.8%,AC View
377,Nanded,16,GEN,Maharashtra,Ashok Shankarrao Chavan,Indian National Congress,"16,87,057","10,13,350",60.1 %,"81,455",8.0%,AC View
378,Nandurbar,1,ST,Maharashtra,Dr.Gavit Heena Vaijaykumar,Bharatiya Janta Party,"16,72,715","11,16,676",66.8 %,"1,06,905",9.6%,AC View
379,Nandyal,34,GEN,Andhra Pradesh [2014 Onwards],S.P.Y Reddy,Yuvajana Sramika Rythu Congress Party,"15,77,128","12,04,956",76.4 %,"1,05,766",8.8%,AC View
380,Narasaraopet,31,GEN,Andhra Pradesh [2014 Onwards],Sambasiva Rao Rayapati,Telugu Desam,"15,14,861","12,82,058",84.6 %,"35,280",2.8%,AC View
381,Narsapuram,26,GEN,Andhra Pradesh [2014 Onwards],Gokaraju Ganga Raju,Bharatiya Janta Party,"13,25,143","10,88,951",82.2 %,"85,351",7.8%,AC View
382,Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,"15,93,237","9,37,405",58.8 %,"1,87,336",20.0%,AC View
383,Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,"17,64,622","11,60,747",65.8 %,"5,58,116",48.1%,AC View
384,Nawada,39,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,"16,75,789","8,84,441",52.8 %,"1,40,157",15.8%,AC View
385,Nellore,39,GEN,Andhra Pradesh [2014 Onwards],Mekapati Rajamohan Reddy,Yuvajana Sramika Rythu Congress Party,"16,06,140","11,87,648",73.9 %,"13,478",1.1%,AC View
386,New Delhi,4,GEN,Delhi [1977 Onwards],Meenakashi Lekhi,Bharatiya Janta Party,"14,90,147","9,69,812",65.1 %,"1,62,708",16.8%,AC View
387,Nilgiris,19,SC,Tamil Nadu,"Gopalakrishnan, C.",All India Anna Dravida Munnetra Kazhagam,"12,69,163","9,33,076",73.5 %,"1,04,940",11.2%,AC View
388,Nizamabad,4,GEN,Telangana,Kalvakuntla Kavitha,Telangana Rashtra Samithi,"14,96,193","10,33,924",69.1 %,"1,67,184",16.2%,AC View
389,North East Delhi,2,GEN,Delhi [1977 Onwards],Manoj Tiwari,Bharatiya Janta Party,"19,57,707","13,17,338",67.3 %,"1,44,084",10.9%,AC View
390,North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,"5,15,441","4,06,631",78.9 %,"1,05,599",26.0%,AC View
391,North West Delhi,5,SC,Delhi [1977 Onwards],Udit Raj,Bharatiya Janta Party,"21,94,425","13,56,036",61.8 %,"1,06,802",7.9%,AC View
392,Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,"15,23,881","12,30,074",80.7 %,"1,43,559",11.7%,AC View
393,Ongole,33,GEN,Andhra Pradesh [2014 Onwards],Y.V.Subba Reddy,Yuvajana Sramika Rythu Congress Party,"14,70,483","12,08,225",82.2 %,"15,658",1.3%,AC View
394,Osmanabad,40,GEN,Maharashtra,Gaikwad Ravindra Vishwanath,Shiv Sena,"17,26,793","11,18,151",64.8 %,"2,34,325",21.0%,AC View
395,Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,"9,18,966","7,71,766",84.0 %,"15,637",2.0%,AC View
396,Palakkad,8,GEN,Kerala,M B Rajesh,Communist Party Of India (MARXIST),"12,08,758","9,10,322",75.3 %,"1,05,300",11.6%,AC View
397,Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,"16,45,957","9,77,323",59.4 %,"2,63,942",27.0%,AC View
398,Palghar,22,ST,Maharashtra,Adv. Chintaman Navasha Wanga,Bharatiya Janta Party,"15,78,077","9,92,618",62.9 %,"2,39,520",24.1%,AC View
399,Pali,15,GEN,Rajasthan,P P Choudhary,Bharatiya Janta Party,"18,93,030","10,95,587",57.9 %,"3,99,039",36.4%,AC View
400,Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,"15,76,667","9,33,461",59.2 %,"1,70,596",18.3%,AC View
401,Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,"18,03,792","11,62,233",64.4 %,"1,27,155",10.9%,AC View
402,Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,"14,13,073","8,54,800",60.5 %,"1,10,254",12.9%,AC View
403,Pataliputra,31,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Bharatiya Janta Party,"17,36,074","9,78,649",56.4 %,"40,322",4.1%,AC View
404,Patan,3,GEN,Gujarat,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,"16,28,641","9,55,799",58.7 %,"1,38,719",14.5%,AC View
405,Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,"13,23,906","8,69,452",65.7 %,"56,191",6.5%,AC View
406,Patiala,13,GEN,Punjab,Dr. Dharam Vira Gandhi,Aam Aadmi Party,"15,80,273","11,20,933",70.9 %,"20,942",1.9%,AC View
407,Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughana Sinha,Bharatiya Janta Party,"19,46,249","8,82,262",45.3 %,"2,65,805",30.1%,AC View
408,Peddapalli,2,SC,Telangana,Balka Suman,Telangana Rashtra Samithi,"14,25,361","10,22,184",71.7 %,"2,91,158",28.5%,AC View
409,Perambalur,25,GEN,Tamil Nadu,"Marutharajaa, R.P.",All India Anna Dravida Munnetra Kazhagam,"12,85,434","10,30,826",80.2 %,"2,13,048",20.7%,AC View
410,Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Keshav Prasad Maurya,Bharatiya Janta Party,"19,13,274","9,60,341",50.2 %,"3,08,308",32.1%,AC View
411,Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Maneka Sanjay Gandhi,Bharatiya Janta Party,"16,71,151","10,50,547",62.9 %,"3,07,052",29.2%,AC View
412,Pollachi,21,GEN,Tamil Nadu,Mahendran.C,All India Anna Dravida Munnetra Kazhagam,"13,81,505","10,12,667",73.3 %,"1,40,974",13.9%,AC View
413,Pondicherry,1,GEN,Pondicherry,R. Radhakrishnan,All India N.R. Congress,"9,01,357","7,40,017",82.1 %,"60,854",8.2%,AC View
414,Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,"11,80,789","8,71,592",73.8 %,"25,410",2.9%,AC View
